customer_id,country,language
1,France,English
2,Canada,Italian
3,Italy,German
4,Spain,Spanish
5,Australia,Italian
6,Canada,Spanish
7,Australia,French
8,France,English
9,Italy,English
10,Sweden,Italian
11,Germany,German
12,Italy,English
13,Spain,Italian
14,Spain,English
15,France,Italian
16,France,Spanish
17,Spain,Spanish
18,France,Italian
19,UK,French
20,Italy,Spanish
21,UK,Italian
22,Australia,German
23,Italy,Italian
24,USA,German
25,France,French
26,Italy,Italian
27,Australia,German
28,Netherlands,Spanish
29,Netherlands,French
30,Sweden,Spanish
31,UK,English
32,France,Italian
33,Australia,German
34,Canada,French
35,France,French
36,Germany,French
37,USA,English
38,Germany,Spanish
39,Australia,English
40,Netherlands,Spanish
41,Australia,French
42,Italy,Spanish
43,Italy,French
44,UK,English
45,Canada,Spanish
46,Germany,French
47,Sweden,Spanish
48,USA,Italian
49,Germany,English
50,Netherlands,French
51,Netherlands,Italian
52,Sweden,Italian
53,Spain,Spanish
54,Australia,Italian
55,Italy,Italian
56,Netherlands,French
57,Netherlands,Spanish
58,France,French
59,France,Italian
60,Netherlands,French
61,France,Spanish
62,Canada,German
63,Germany,German
64,Spain,German
65,Sweden,English
66,UK,French
67,Germany,Spanish
68,UK,French
69,Canada,Spanish
70,Italy,German
71,Sweden,Spanish
72,Italy,English
73,Germany,Spanish
74,Italy,Italian
75,USA,Italian
76,Italy,Spanish
77,USA,German
78,France,Spanish
79,Italy,Italian
80,Sweden,Italian
81,Germany,Spanish
82,Germany,German
83,Italy,Spanish
84,USA,Spanish
85,Spain,Spanish
86,UK,Spanish
87,UK,Italian
88,Sweden,English
89,Italy,Italian
90,Australia,English
91,Canada,Spanish
92,UK,Spanish
93,UK,English
94,France,Spanish
95,Spain,French
96,Netherlands,German
97,Spain,Spanish
98,France,Spanish
99,France,English
100,Netherlands,English
101,Sweden,English
102,Spain,French
103,Canada,English
104,USA,French
105,Germany,English
106,Australia,French
107,Germany,French
108,Netherlands,English
109,Australia,French
110,Netherlands,German
111,Spain,French
112,Australia,Italian
113,Canada,French
114,France,English
115,Australia,English
116,France,Italian
117,Italy,Spanish
118,Germany,English
119,Australia,French
120,Canada,German
121,Australia,English
122,Australia,English
123,Spain,Italian
124,Italy,German
125,Canada,Italian
126,Spain,English
127,Italy,Spanish
128,Canada,Spanish
129,Spain,Spanish
130,UK,Spanish
131,UK,Italian
132,France,Italian
133,Sweden,Spanish
134,Netherlands,Spanish
135,Australia,German
136,Spain,French
137,Canada,German
138,Netherlands,French
139,Netherlands,Italian
140,Australia,Spanish
141,Spain,English
142,Netherlands,German
143,UK,Spanish
144,Germany,German
145,France,German
146,France,Italian
147,France,Italian
148,USA,Italian
149,Germany,English
150,Germany,Spanish
151,Netherlands,Italian
152,Germany,Spanish
153,Netherlands,Spanish
154,USA,English
155,France,French
156,Italy,French
157,France,Italian
158,Spain,Spanish
159,Sweden,Italian
160,Spain,Spanish
161,Sweden,German
162,Spain,Spanish
163,France,German
164,France,French
165,Canada,French
166,Spain,English
167,Sweden,French
168,Germany,French
169,Netherlands,German
170,Australia,Italian
171,Australia,German
172,Canada,French
173,France,French
174,Spain,French
175,France,English
176,Sweden,French
177,France,English
178,USA,Italian
179,France,French
180,Netherlands,English
181,USA,Italian
182,France,Spanish
183,Netherlands,Spanish
184,Spain,French
185,USA,German
186,Netherlands,English
187,Canada,Spanish
188,Netherlands,English
189,Australia,English
190,UK,French
191,Australia,German
192,Canada,French
193,Canada,Italian
194,Italy,Italian
195,Australia,Italian
196,Germany,Italian
197,Italy,Spanish
198,Netherlands,German
199,Australia,Spanish
200,France,Italian
201,Australia,English
202,Australia,English
203,Germany,French
204,France,English
205,UK,French
206,UK,Italian
207,Canada,French
208,USA,Spanish
209,Netherlands,Italian
210,Netherlands,German
211,USA,French
212,France,German
213,Netherlands,English
214,Germany,German
215,Australia,French
216,Italy,English
217,Sweden,French
218,UK,German
219,UK,English
220,USA,French
221,France,Italian
222,Australia,German
223,Netherlands,English
224,Netherlands,German
225,Italy,German
226,Sweden,Italian
227,Netherlands,Spanish
228,Canada,Italian
229,USA,Spanish
230,Spain,Italian
231,France,English
232,Canada,French
233,Australia,Italian
234,USA,German
235,Australia,English
236,UK,Spanish
237,Sweden,Spanish
238,France,French
239,Australia,Spanish
240,Netherlands,English
241,Netherlands,German
242,Italy,German
243,Spain,English
244,UK,German
245,Italy,Spanish
246,France,Spanish
247,Sweden,English
248,Netherlands,English
249,Spain,German
250,Spain,English
251,Italy,Italian
252,USA,Italian
253,Netherlands,Spanish
254,USA,French
255,Sweden,German
256,Australia,Spanish
257,Netherlands,English
258,Germany,German
259,Sweden,French
260,France,Spanish
261,Netherlands,English
262,USA,Italian
263,Germany,French
264,France,Italian
265,USA,Italian
266,Italy,English
267,Germany,English
268,Netherlands,English
269,UK,Spanish
270,France,Italian
271,France,Spanish
272,Netherlands,Spanish
273,Germany,Spanish
274,Sweden,French
275,Italy,French
276,Australia,Italian
277,UK,English
278,France,Spanish
279,Spain,Italian
280,France,English
281,France,German
282,Australia,Italian
283,Netherlands,French
284,Netherlands,Italian
285,Netherlands,German
286,Spain,Italian
287,Sweden,Spanish
288,Netherlands,German
289,Germany,French
290,Australia,Spanish
291,Germany,Spanish
292,USA,German
293,Netherlands,Spanish
294,Italy,French
295,Netherlands,English
296,UK,Italian
297,Australia,German
298,Canada,Spanish
299,Canada,Italian
300,Netherlands,English
301,UK,Spanish
302,UK,English
303,Netherlands,German
304,Spain,Italian
305,Italy,English
306,Spain,Italian
307,Italy,German
308,Netherlands,Italian
309,USA,Italian
310,Canada,French
311,France,French
312,Canada,Spanish
313,Canada,English
314,Netherlands,French
315,France,English
316,USA,German
317,USA,German
318,Spain,German
319,Italy,French
320,Germany,Italian
321,Italy,Italian
322,UK,French
323,UK,English
324,Australia,Spanish
325,Australia,French
326,Netherlands,Italian
327,UK,French
328,Netherlands,German
329,Netherlands,German
330,USA,Spanish
331,France,Italian
332,UK,English
333,Netherlands,German
334,Australia,German
335,Italy,German
