product_id,product_name,category,subcategory,brand,unit_cost
1,Table 1,Furniture,Table,Brand_1,227.63
2,Bed 2,Furniture,Bed,Brand_4,59.07
3,Table 3,Furniture,Table,Brand_9,44.34
4,Shelf 4,Furniture,Shelf,Brand_1,28.34
5,Bed 5,Furniture,Bed,Brand_4,161.5
6,Chair 6,Furniture,Chair,Brand_9,75.67
7,Stool 7,Furniture,Stool,Brand_7,81.72
8,Bench 8,Furniture,Bench,Brand_5,246.64
9,Chair 9,Furniture,Chair,Brand_3,215.48
10,Desk 10,Furniture,Desk,Brand_5,63.53
11,Desk 11,Furniture,Desk,Brand_2,45.97
12,Table 12,Furniture,Table,Brand_6,257.3
13,Bench 13,Furniture,Bench,Brand_5,246.0
14,Wardrobe 14,Furniture,Wardrobe,Brand_9,54.95
15,Shelf 15,Furniture,Shelf,Brand_2,174.57
16,Bench 16,Furniture,Bench,Brand_6,181.66
17,Table 17,Furniture,Table,Brand_1,205.15
18,Cabinet 18,Furniture,Cabinet,Brand_2,259.49
19,Table 19,Furniture,Table,Brand_7,97.83
20,Desk 20,Furniture,Desk,Brand_3,123.65
21,Bed 21,Furniture,Bed,Brand_5,216.51
22,Table 22,Furniture,Table,Brand_10,197.79
23,Stool 23,Furniture,Stool,Brand_4,65.75
24,Shelf 24,Furniture,Shelf,Brand_5,297.07
25,Stool 25,Furniture,Stool,Brand_4,211.69
26,Chair 26,Furniture,Chair,Brand_4,250.1
27,Desk 27,Furniture,Desk,Brand_7,94.97
28,Bed 28,Furniture,Bed,Brand_10,265.38
29,Desk 29,Furniture,Desk,Brand_4,203.52
30,Shelf 30,Furniture,Shelf,Brand_8,60.0
31,Sofa 31,Furniture,Sofa,Brand_4,228.6
32,Stool 32,Furniture,Stool,Brand_5,229.16
33,Shelf 33,Furniture,Shelf,Brand_10,131.83
34,Bed 34,Furniture,Bed,Brand_3,162.67
35,Table 35,Furniture,Table,Brand_1,261.11
36,Sofa 36,Furniture,Sofa,Brand_3,241.78
37,Shelf 37,Furniture,Shelf,Brand_10,37.79
38,Shelf 38,Furniture,Shelf,Brand_10,298.91
39,Stool 39,Furniture,Stool,Brand_5,291.9
40,Chair 40,Furniture,Chair,Brand_2,210.88
41,Stool 41,Furniture,Stool,Brand_5,235.21
42,Desk 42,Furniture,Desk,Brand_2,102.18
43,Sofa 43,Furniture,Sofa,Brand_8,20.91
44,Cabinet 44,Furniture,Cabinet,Brand_9,233.35
45,Stool 45,Furniture,Stool,Brand_2,263.75
46,Cabinet 46,Furniture,Cabinet,Brand_9,190.51
47,Sofa 47,Furniture,Sofa,Brand_6,233.5
48,Stool 48,Furniture,Stool,Brand_9,277.18
49,Bench 49,Furniture,Bench,Brand_6,156.81
50,Table 50,Furniture,Table,Brand_6,266.04
