store_id,store_name,city,state,country
1,Store_1,City_16,State_2,France
2,Store_2,City_37,State_3,Germany
3,Store_3,City_47,State_16,Canada
4,Store_4,City_49,State_18,Canada
5,Store_5,City_9,State_16,UK
6,Store_6,City_11,State_9,Sweden
7,Store_7,City_39,State_14,Sweden
8,Store_8,City_35,State_7,Germany
9,Store_9,City_26,State_12,France
10,Store_10,City_34,State_15,Netherlands
11,Store_11,City_16,State_8,Canada
12,Store_12,City_22,State_1,Canada
13,Store_13,City_36,State_8,Australia
14,Store_14,City_15,State_1,Australia
15,Store_15,City_46,State_2,Canada
16,Store_16,City_5,State_2,Germany
17,Store_17,City_5,State_17,Spain
18,Store_18,City_18,State_16,Germany
19,Store_19,City_35,State_5,Germany
20,Store_20,City_37,State_16,Australia
21,Store_21,City_31,State_14,Germany
22,Store_22,City_7,State_4,Germany
23,Store_23,City_23,State_14,Italy
24,Store_24,City_30,State_2,Italy
25,Store_25,City_4,State_13,Canada
26,Store_26,City_7,State_8,Spain
27,Store_27,City_13,State_18,Germany
28,Store_28,City_9,State_14,Netherlands
29,Store_29,City_18,State_15,UK
30,Store_30,City_5,State_15,Germany
31,Store_31,City_7,State_2,Sweden
32,Store_32,City_1,State_3,Sweden
33,Store_33,City_11,State_14,Germany
34,Store_34,City_31,State_7,Netherlands
35,Store_35,City_4,State_6,Italy
36,Store_36,City_1,State_13,Italy
37,Store_37,City_30,State_10,France
38,Store_38,City_45,State_18,Italy
39,Store_39,City_10,State_7,Netherlands
40,Store_40,City_14,State_2,France
41,Store_41,City_48,State_18,Australia
42,Store_42,City_48,State_11,USA
43,Store_43,City_4,State_19,USA
44,Store_44,City_33,State_17,Netherlands
45,Store_45,City_4,State_17,UK
46,Store_46,City_12,State_3,Canada
47,Store_47,City_5,State_8,Australia
48,Store_48,City_8,State_19,Italy
49,Store_49,City_38,State_20,Germany
50,Store_50,City_40,State_3,USA
51,Store_51,City_43,State_19,Italy
52,Store_52,City_34,State_11,Australia
53,Store_53,City_14,State_11,France
54,Store_54,City_17,State_13,Germany
55,Store_55,City_43,State_10,UK
56,Store_56,City_21,State_3,Netherlands
57,Store_57,City_30,State_20,USA
58,Store_58,City_7,State_3,Australia
59,Store_59,City_14,State_17,Sweden
60,Store_60,City_9,State_12,France
61,Store_61,City_16,State_12,Canada
62,Store_62,City_11,State_15,France
63,Store_63,City_46,State_10,Sweden
64,Store_64,City_42,State_17,Australia
65,Store_65,City_43,State_18,USA
66,Store_66,City_43,State_4,France
67,Store_67,City_17,State_4,UK
68,Store_68,City_48,State_18,Canada
69,Store_69,City_18,State_10,UK
70,Store_70,City_14,State_11,Australia
71,Store_71,City_44,State_9,Germany
72,Store_72,City_32,State_9,Sweden
73,Store_73,City_6,State_14,USA
74,Store_74,City_3,State_1,France
75,Store_75,City_50,State_5,Spain
76,Store_76,City_11,State_15,France
77,Store_77,City_46,State_14,Sweden
78,Store_78,City_1,State_4,Sweden
79,Store_79,City_45,State_5,Canada
80,Store_80,City_3,State_12,Sweden
81,Store_81,City_36,State_5,Australia
82,Store_82,City_9,State_2,Italy
83,Store_83,City_24,State_2,France
84,Store_84,City_14,State_8,Spain
85,Store_85,City_23,State_18,Canada
86,Store_86,City_40,State_5,Italy
87,Store_87,City_11,State_6,Germany
88,Store_88,City_2,State_6,Italy
89,Store_89,City_27,State_8,Spain
90,Store_90,City_11,State_4,France
91,Store_91,City_3,State_16,Italy
92,Store_92,City_13,State_15,Germany
93,Store_93,City_20,State_8,Spain
94,Store_94,City_2,State_7,Germany
95,Store_95,City_22,State_9,Italy
96,Store_96,City_50,State_9,Canada
97,Store_97,City_42,State_17,Spain
98,Store_98,City_44,State_18,Italy
99,Store_99,City_2,State_4,Spain
100,Store_100,City_12,State_19,France
