sale_id,order_id,date_id,product_id,customer_id,store_id,quantity,unit_price,discount,total_amount,payment_method,device_type
1,1319,20260216,33,1806,50,3,674.65,0.18,1659.64,Debit Card,Mobile
2,1205,20260216,29,1649,18,4,427.98,0.1,1540.73,Credit Card,Desktop
3,1225,20260216,45,1122,41,1,715.01,0.22,557.71,PayPal,Mobile
4,2813,20260216,23,1887,87,3,249.23,0.21,590.68,Credit Card,Mobile
5,2910,20260216,8,1559,46,3,565.37,0.19,1373.85,PayPal,Desktop
6,1710,20260216,44,1532,69,4,592.11,0.2,1894.75,Debit Card,Desktop
7,596,20260216,4,1373,8,1,546.59,0.01,541.12,Credit Card,Desktop
8,600,20260216,4,1415,38,1,984.36,0.21,777.64,Credit Card,Mobile
9,3556,20260216,44,1515,72,3,823.32,0.03,2395.86,Credit Card,Desktop
10,2852,20260216,19,1420,86,2,535.38,0.24,813.78,Credit Card,Desktop
11,2807,20260216,21,1979,71,3,445.74,0.24,1016.29,Credit Card,Mobile
12,3525,20260216,29,1700,29,3,242.93,0.26,539.3,PayPal,Desktop
13,3180,20260216,47,1975,25,3,569.28,0.18,1400.43,Debit Card,Desktop
14,3943,20260216,12,1506,66,3,984.28,0.02,2893.78,Credit Card,Desktop
15,533,20260216,11,1197,33,4,457.08,0.17,1517.51,Credit Card,Desktop
16,630,20260216,21,1223,7,1,724.2,0.05,687.99,PayPal,Desktop
17,299,20260216,46,651,68,4,800.41,0.17,2657.36,Credit Card,Mobile
18,1704,20260216,35,1100,52,4,114.77,0.15,390.22,Credit Card,Desktop
19,1357,20260216,24,602,28,4,889.23,0.2,2845.54,PayPal,Desktop
20,37,20260216,8,1370,45,3,832.5,0.29,1773.22,Debit Card,Mobile
21,3928,20260216,3,1398,42,2,633.02,0.19,1025.49,Debit Card,Mobile
22,102,20260216,34,1684,99,1,293.76,0.22,229.13,Debit Card,Desktop
23,789,20260216,21,1053,11,2,91.66,0.27,133.82,Credit Card,Mobile
24,864,20260216,43,1290,100,4,556.55,0.19,1803.22,Credit Card,Desktop
25,3599,20260216,48,1588,56,4,245.3,0.25,735.9,PayPal,Mobile
26,1359,20260216,3,180,10,2,196.07,0.14,337.24,Credit Card,Mobile
27,933,20260216,17,835,50,2,580.18,0.17,963.1,Debit Card,Desktop
28,485,20260216,35,13,83,2,350.58,0.12,617.02,PayPal,Mobile
29,1466,20260216,33,218,38,4,93.24,0.25,279.72,PayPal,Desktop
